index,dong,name_subway,Latitude,Longitude,MF,EF,TF,SF,y
135,성북구,S_월곡역,37.5965761,127.0389176,-0.239306735,-1.25182,1.19732,-0.09240284869637617,-0.034309981
136,성북구,S_한성대입구역,37.5884105,127.0103449,-0.239306735,-1.25182,1.91453,0.5587770266265756,-0.072698852
137,송파구,S_가락시장(3)역,37.4856859,127.1193237,-2.543974601,-0.296499,0.0551764,-1.5452859289313239,-0.838987695
138,송파구,S_개롱역,37.5062405,127.1232563,-2.543974601,-0.296499,0.0738531,-1.0126473366357398,-1.004051207
139,송파구,S_거여역,37.5062405,127.1232563,-2.543974601,-0.296499,-1.43756,-1.0126473366357398,-1.314732985
140,송파구,S_경찰병원역,37.4993959,127.1254327,-2.543974601,-0.296499,0.0587901,-1.2494738107020542,-0.913211895
141,송파구,S_마천역,37.4951533,127.1530068,-2.543974601,-0.296499,1.42298,-2.432814026338593,-0.593133273
142,송파구,S_몽촌토성역,37.5213517,127.1026097,-2.543974601,-0.296499,1.56332,-0.3642950625199372,-0.790647384
143,송파구,S_문정역,37.4856859,127.1193237,-2.543974601,-0.296499,-0.189615,-1.5452859289313239,-0.889306318
144,송파구,S_방이역,37.50885,127.1247641,-2.543974601,-0.296499,0.635113,-1.0151428260474415,-0.902760647
145,송파구,S_복정역,37.4856859,127.1193237,-2.543974601,-0.296499,0.441735,-1.5452859289313239,-0.759527808
146,송파구,S_삼전,37.5079559,127.0981246,-2.543974601,-0.296499,-3.91402,-0.39750398375063795,-1.922108638
147,송파구,S_석촌고분,37.5079559,127.0981246,-2.543974601,-0.296499,1.46992,-0.39750398375063795,-0.815401245
148,송파구,S_석촌역,37.4856859,127.1193237,-2.543974601,-0.296499,1.64798,-1.5452859289313239,-0.511575517
149,송파구,S_송파나루,37.5079559,127.0981246,-2.543974601,-0.296499,0.712708,-0.39750398375063795,-0.97105159
150,송파구,S_송파역,37.4856859,127.1193237,-2.543974601,-0.296499,0.0551764,-1.5452859289313239,-0.838987695
151,송파구,S_오금역,37.5062405,127.1232563,-2.543974601,-0.296499,1.65609,-1.0126473366357398,-0.67881109
152,송파구,S_올림픽공원역,37.50885,127.1247641,-2.543974601,-0.296499,0.635113,-1.0151428260474415,-0.902760647
153,송파구,S_잠실(8)역,37.5149545,127.1042019,-2.543974601,-0.296499,0.541914,-0.31156356271019,-1.056714713
154,송파구,S_잠실나루역,37.5186216,127.1049002,-2.543974601,-0.296499,1.55413,-0.34456601001355475,-0.810991208
155,송파구,S_잠실새내역,37.5213517,127.1026097,-2.543974601,-0.296499,-3.91131,-0.3642950625199372,-1.915996755
156,송파구,S_장지역,37.4856859,127.1193237,-2.543974601,-0.296499,0.441735,-1.5452859289313239,-0.759527808
157,송파구,S_종합운동장역,37.5213517,127.1026097,-2.543974601,-0.296499,-3.91131,-0.3642950625199372,-1.915996755
158,송파구,S_한성백제,37.5132079,127.1229459,-2.543974601,-0.296499,0.645101,-0.8911652190243294,-0.926967791
159,양천구,S_목동역,37.5245067,126.862375,-0.259754621,-1.20302,-1.7984,0.3383426500101668,-0.845851428
160,양천구,S_신정네거리역,37.520694,126.8523726,-0.259754621,-1.20302,-2.41819,0.08292483305071283,-0.952241947
161,양천구,S_신정역,37.5245067,126.862375,-0.259754621,-1.20302,-2.39693,0.3383426500101668,-0.968883553
162,양천구,S_양천구청역,37.5109528,126.8630883,-0.259754621,-1.20302,-2.40693,0.14061769137827762,-0.956457472
163,양천구,S_오목교역,37.5245067,126.862375,-0.259754621,-1.20302,-1.7984,0.3383426500101668,-0.845851428
164,영등포구,S_당산역,37.5349309,126.9027301,-0.892222175,0.333486,-0.00500832,0.7196443231607651,-0.370675375
165,영등포구,S_대림(7)역,37.5050273,126.8975225,0.148254535,0.354321,-0.665772,0.5294172350653452,-0.035478165
166,영등포구,S_문래역,37.5267009,126.8986365,0.148254535,0.354321,1.68997,0.907574560612617,0.331415282
